"created_time","account","post_type","icon","tag_id","tag_name","impressions","impressionsVmedian","impressionsVmean","engagements","engagementsVmedian","engagementsVmean","engagementRate","engrtVmedian","engrtVmean","postClicks","shares","videoViews","brand","program","accountType","post","perma_link","text","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8"
"2024-12-12T18:45:01Z","RMI","LinkedIn",0,0,NA,3443,1.023,0.497,926,7.052,2.876,0.269,3.203,1.956,901,3,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:ugcPost:7272982063736053760/","The only way to start is by starting. RMI’s Electrify cohort is helping 12 teams from across the country — representing 20 local governments and their 30 partner organizations — develop and launch programs to help community members electrify their homes, focusing on heat pumps. 

""We tried to provide the teams with a lot of different electrification program pieces that otherwise all of those municipalities would have had to create on their own,"" said RMI Manager Michael Gartman, who helped run the cohorts.  

""Giving those folks a clear process to follow with tools, templates, and a community to share ideas with and ask questions is what RMI has provided,"" he added. 

Partnerships and collaboration are a real game-changer. All 12 teams in the cohort agreed on the importance of the relationships that were built during the two years of the program. The teams were able to connect and see what each other was doing, helping them feel less isolated by sharing what they had learned during their program development. 

Learn more: https://bit.ly/3ZOMQLi

#electrification #HomeElectrification",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-11T22:50:22Z","RMI","LinkedIn",0,0,NA,1152,-0.323,-0.499,70,-0.391,-0.707,0.061,-0.047,-0.33,57,0,411,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:ugcPost:7272744551943958528/","Financing for climate solutions is increasing, but we also need to transform the existing polluting parts of the economy that deliver essential goods and services. Transition finance can help direct capital to decarbonize high-emitting sectors, companies, and activities. 

More than 675 financial institutions representing 40% of global private financial assets have committed to aligning their portfolios with net zero. Transition finance could help reach these targets, manage exposure to climate risk, and support real economy decarbonization. 

RMI’s resource hub provides more clarity and information about transition finance, including practical guidance, insights on frequently asked questions, and case studies to highlight lessons learned:  https://bit.ly/3BeB2J3",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-10T19:20:01Z","RMI","LinkedIn",0,0,NA,770,-0.548,-0.665,22,-0.809,-0.908,0.029,-0.547,-0.681,8,0,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7272329229424295936/","🌍 Your Impact TRIPLED for the Next 48 Hours! 🌍 

For the next two days, every $1 donated = $3, thanks to generous donors.  

Here's what that means: 
⚡️A $50 gift becomes $150 
⚡️A $100 gift becomes $300 

⏳ This special match ends at midnight on December 12, 2024, so act now! 

This year, we've seen the dual realities: devastating climate impacts like record-breaking heat and devastating storms AND incredible progress through clean energy solutions like solar power, EVs, and batteries. With your support, we can accelerate this positive momentum and build a clean, affordable energy future. 

🌟 Make your gift today: https://bit.ly/4f4Ddwk
Together, we can scale solutions to protect our planet for generations to come. ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-09T19:34:02Z","RMI","LinkedIn",0,0,NA,3324,0.953,0.445,86,-0.252,-0.64,0.026,-0.594,-0.714,63,4,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7271970365751369728/","💵 More climate finance is coming to Africa!  

Building on its success in securing millions in climate finance for Pacific and Caribbean nations since 2021, the Climate Finance Access Network (CFAN) has officially announced the launch of its first Africa cohort, supported by the U.S. Department of State.
 
Coordinated by RMI, CFAN enhances the capacity to unlock climate finance in Small Island Developing States (SIDS) and Least Developed Countries by recruiting and training local climate finance advisors to work within governments and local organizations. Currently active in 20 countries across the Pacific and Caribbean, CFAN has made significant progress.  
 
CFAN's current impact by the numbers: 
🌏 20 countries and three cohorts 
💰 $76.6 million in climate finance secured 
💸 $1.4 billion in the global project pipeline 

The three African countries where CFAN will be starting its cohort, the Democratic Republic of Congo, the Republic of Congo, and Cameroon, are just the beginning. 🌱 The goal is to scale the success of CFAN throughout the continent while tailoring its approach to country-specific needs and priorities. Notably, these nations are situated in the Congo Basin, the world’s largest carbon sink, which absorbs approximately 4% of annual global emissions, underscoring the region’s critical role in global climate mitigation. 

This expansion marks a pivotal step in equipping vulnerable nations with the tools and expertise needed to access critical climate finance, empowering them to safeguard their communities and contribute to global climate resilience. 🛠️ 

#ClimateFinance #AfricaEnergy

https://bit.ly/3BdAIKy",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-07T22:45:01Z","RMI","LinkedIn",0,0,NA,8660,4.088,2.765,2052,16.843,7.589,0.237,2.703,1.604,1959,8,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:ugcPost:7270911837200670721/","Heat pumps can do it all: serving as air conditioners on hot summer days and warming our homes on cold winter nights, all while saving energy and improving air quality. This versatility makes them an increasingly popular green choice. 

In heating mode, air-source heat pumps use refrigerants with high boiling points to absorb heat from the air, even when it’s cold out. The heat pump concentrates this warmth and passes it indoors to warm your home.  

And because a heat pump moves heat instead of generating it – as does a conventional furnace – it can deliver several times more heat energy than it consumes in electricity. This requires much less energy and means lower operating costs than older-style electric resistance heaters. And compared with oil and gas furnaces, heat pumps generate far less harmful air pollution and greenhouse gases.     

Heat pumps have been a hit in milder climates for a long time, and advancements are making them more and more popular in colder climes, too. Learn more about how switching to a heat pump can be a big win for household energy savings, lower health risks, and increased comfort — all while improving the climate: https://bit.ly/3Zsmb5A",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-06T22:13:02Z","RMI","LinkedIn",0,0,NA,2253,0.324,-0.02,81,-0.296,-0.661,0.036,-0.438,-0.604,64,5,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7270923218184478720/","🌍 Building our Clean Energy Future, Together 🌍 

Join us for an inspiring webinar featuring Sir Richard Branson, Chairman of Virgin Group, in conversation with RMI Managers Taylor Krause and Ian Welch-Phillips. Moderated by RMI Trustee Martha Brooks, this session will explore how the next generation of climate leaders is advancing clean energy solutions worldwide. 

🗓️ Date: Tuesday, December 10, 2024 
⏰ Time: 10 a.m.–11 a.m. MT | 12 p.m.–1 p.m. ET 
📍 Where: Virtual 

✨ Don't miss this exciting opportunity to hear from leaders driving change! 
👉 Register now:  https://bit.ly/3Zrv6o4",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-06T18:44:01Z","RMI","LinkedIn",0,0,NA,2227,0.308,-0.032,71,-0.383,-0.703,0.032,-0.5,-0.648,43,3,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7270870618307198977/","The aviation industry is responsible for nearly 3% of global CO2 emissions, roughly on par with Japan, the fifth highest-emitting country. And this past Sunday set a record for busiest day ever for commercial air travel in America, only increasing our carbon output. To get these emissions down, the industry is developing new technologies to help decarbonize aviation and create a more sustainable future. 

Sustainable aviation fuels and other novel propulsion technologies, such as hydrogen, electric, and hybrid aircraft are essential to decarbonizing the industry, but to reach net-zero by 2050, airports need to start planning now. 

Airport infrastructure plays an important role in decarbonization of the aviation industry. Airports must plan for and implement new airport infrastructure that allows for these new technologies to thrive. To do so, they’re going to have to work closely with a variety of stakeholders to make it happen. 

Check out RMI’s new article on airports and net-zero aviation 👉 https://bit.ly/49w2w9K ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-05T18:17:01Z","RMI","LinkedIn",0,0,NA,692,-0.593,-0.699,27,-0.765,-0.887,0.039,-0.391,-0.571,24,0,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7270501435753009153/","New approaches to financing can speed up the phase out of coal. In New Jersey, two major coal plants ceased operations 30 months ahead of schedule through an innovative ""Renegotiate, Refinance, Redevelop"" approach. The project demonstrates the power of collaboration to deliver a big win for investors, customers, and the climate. Through renegotiated power agreements, consumers saved $30 million in energy costs while investors secured more attractive terms.   

This approach has also offered expansive benefits for the climate: As the sites shift to battery storage facilities, millions of tons of carbon emissions will be avoided.  

This case in New Jersey demonstrates an approach that can advance similar collaboration in other energy systems worldwide. The three-pronged strategy — renegotiating power contracts, refinancing with institutional capital, and redeveloping sites for clean energy — offers valuable lessons for utilities, investors, and policymakers working to phase out coal while maintaining grid reliability. https://bit.ly/41pUZHz",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-04T22:33:02Z","RMI","LinkedIn",0,0,NA,3422,1.011,0.488,201,0.748,-0.159,0.059,-0.078,-0.352,165,2,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7270203473235701760/","Rising demand is driving the growth of “fast fashion” — low-cost clothing often worn only once — made from polyester. Polyester is a synthetic fiber, or plastic, derived from petroleum-based chemicals that constantly shed microplastics. Most polyester fibers aren't biodegradable. This creates big challenges to manage polyester waste as well as to cut the emissions from making, using, and disposing of these products. 

With an annual production volume of approximately 73 million tons, polyester now comprises over half of global textile fiber production. By evaluating the polyester value chain, we can understand pathways to a climate-differentiated chemicals markets, and the technology, policy, and market innovation needed to take a step towards sustainable production of polyester products. 

https://bit.ly/3OEbcRz ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-03T12:48:02Z","RMI","LinkedIn",0,0,NA,1002,-0.411,-0.564,38,-0.67,-0.841,0.038,-0.406,-0.582,15,7,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7269693868101529600/","Clean energy is happening faster than many realize, and RMI is delivering solutions that work for people and the planet. 

This Giving Tuesday, your support helps us continue scaling renewables, advancing energy efficiency, and driving impactful solutions for a zero-carbon future. Please make a gift >> https://bit.ly/4igisRc

We can’t afford to lose momentum when the stakes are so high. This is the mission of all of our lifetimes — and together, we can make it happen!   

#GivingTuesday #CleanEnergy #ClimateAction #Donate ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-02T11:10:01Z","RMI","LinkedIn",0,0,NA,1347,-0.209,-0.414,33,-0.713,-0.862,0.024,-0.625,-0.736,26,0,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7269306813030756352/","🏠 🔌 Energy efficiency begins at home — and it’s about more than just appliances. As Michael Gartman from RMI explains, ""The weather that you can expect to see where you live is changing in a pretty unpredictable manner. The benefit of weatherization, unlike some of the other decarbonization measures that you might be thinking about, is it really just shelters you from whatever that change means over time.""

Explore how home weatherization can reduce energy use, lower bills, and prepare your home for efficient upgrades. 🌱💡 https://lnkd.in/gbN55iAQ 

#EnergyEfficiency #Decarbonization #SustainableLiving #RMI #ClimateAction  ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-12-01T22:14:02Z","RMI","LinkedIn",0,0,NA,2802,0.646,0.218,74,-0.357,-0.69,0.026,-0.594,-0.714,50,4,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7269111528270766082/","Each year, the number of flights grows, and in turn the amount of CO2 emitted increases. However, sustainable aviation fuel, or SAF, could be a fix for the aviation industry’s carbon emissions problem.  

“Sustainable aviation fuel” is an umbrella term for liquid fuels that are made without crude oil. SAF can be produced from corn ethanol, agricultural scraps, or synthetic “e-fuels"" derived from green hydrogen and recycled CO2. Although not a perfect solution, SAF is essential to decarbonize flying in the near term and can help create a greener aviation industry. 🌱 ✈️ 

“It’s important for consumers to understand that we are charting a flight path, if you will, toward a zero-carbon aviation system,” says RMI’s Mark Porter. “But that’s not going to happen today, and it won’t be tomorrow. It’s going to take a while to get there.” 

Via Canary Media Inc. https://bit.ly/3CJdYCv ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-11-30T21:57:01Z","RMI","LinkedIn",0,0,NA,1879,0.104,-0.183,53,-0.539,-0.778,0.028,-0.562,-0.692,33,3,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7268744858633199616/","Emissions from existing coal power plants will push global warming beyond 1.5°C. Countries need to immediately end the construction of new coal power plants and phase out existing ones completely by 2040. With 85% of coal demand coming from emerging economies, it’s vital to accelerate the coal-to-clean transition across the developing world.  

The phase-out of coal power is well underway in certain regions, but accelerating the coal-to-clean transition across developing economies is the best way to achievethat goal. This is challenging work, and will depend on domestic policy and planning, plus the support of international partners, local stakeholder support, and raising the ambition of both private and public financial commitments. 

""Accelerating Coal-to-Clean Energy Transitions: First Report and Recommendations of the Coal Transition Commission,"" authored by the International Energy Agency (IEA), The Powering Past Coal Alliance (PPCA), E3G, Glasgow Financial Alliance for Net Zero (GFANZ), and RMI, and supported by Bloomberg Philanthropies, is a roadmap that shows the opportunities, challenges, and financial and policy solutions to speed up the transition away from coal to clean energy: https://bit.ly/48N9wOV",NA,NA,NA,NA,NA,NA,NA,NA
"2024-11-29T22:19:01Z","RMI","LinkedIn",0,0,NA,5334,2.134,1.319,175,0.522,-0.267,0.033,-0.484,-0.637,112,9,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7268388009882902528/","We’ll need to remove 10 gigatons of CO2 each year to avoid reaching climate tipping points, according to recent projections based on IPCC estimates. A gigaton is a massive amount, so it can be hard to grasp what a “gigaton of carbon dioxide removal” means.  

One gigaton of emissions is equivalent to:  
      🏭 Running 220 coal-fired plants for one year
      🚗 Driving 215 million gasoline-powered vehicles for one year  

Our new article breaks down the massive scale of carbon dioxide removal (CDR) needed by 2050 to stabilize the climate 👉  https://bit.ly/3CPDYMI ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-11-29T07:45:02Z","RMI","LinkedIn",0,0,NA,1325,-0.222,-0.424,38,-0.67,-0.841,0.029,-0.547,-0.681,17,2,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:share:7268168060400787457/","Cleantech and renewable energy are vital for slashing greenhouse gas (GHG) emissions. These technologies rely on minerals and metals that must be extracted, used, and disposed of responsibly. To limit harmful pollution, warming emissions, excessive water use, and other damage to communities and ecosystems, we must manage these resources sustainably 

The minerals and metals used in cleantech provide an opportunity  to do so, and move away from an entirely extractive energy economy: 

""Unlike fossil fuels, the materials used for batteries, solar cells and wind turbines offer enormous economic potential for reuse. Remarkably, the cumulative mass of materials needed to support the clean energy transition through 2050 is less than the amount of coal currently extracted each year,"" RMI CEO Jon Creyts](urn:li:person:znZm2PJ_Fx) told @[World Economic Forum. ""By re-engineering material flows, we can keep scarce high-value resources in circulation and reduce our dependence on ongoing extraction.""

Learn more from 14 experts who spoke with WEF about how to responsibly use resources as the energy transition accelerates: https://bit.ly/4fOn1Ro ",NA,NA,NA,NA,NA,NA,NA,NA
"2024-11-28T18:45:01Z","RMI","LinkedIn",0,0,NA,1775,0.043,-0.228,218,0.896,-0.087,0.123,0.922,0.352,210,0,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:ugcPost:7265850042840715264/","When organic waste – like food scraps, yard clippings, and cardboard – breaks down in landfills and dumpsites around the world, it creates methane, a climate super pollutant with over 80 times the near-term warming power of carbon dioxide. 

Thankfully, there are proven, cost-effective strategies to reduce and recycle organic waste and strengthen emission controls at disposal sites that could curb nearly 90 percent of methane emissions from solid waste.  

More than 30 countries at #COP29 signed on to set specific targets to reduce waste sector methane and develop new policies and programs to achieve those targets. Focusing on the waste sector is essential to achieve the Global Methane Pledge’s goal to cut methane by 30% below 2020 levels, by 2030, limit near-term temperature rise, and avoid dangerous climate tipping points. Quick action means benefits today: since methane is released alongside other harmful pollutants, addressing methane from organic waste will also protect public health, improve air quality, and advance environmental justice. https://bit.ly/4eIDuF9",NA,NA,NA,NA,NA,NA,NA,NA
"2024-11-27T22:15:01Z","RMI","LinkedIn",0,0,NA,3744,1.2,0.628,812,6.061,2.399,0.217,2.391,1.385,758,8,0,0,1,"RMI Program","Post","https://www.linkedin.com/feed/update/urn:li:ugcPost:7267299242400964609/","Food waste is the single most landfilled material and causes nearly 60% of landfill methane emissions, the EPA reports. Methane, a powerful greenhouse gas, is generated when organic materials — such as food waste, yard waste, and paper — decompose in landfills without oxygen. As a result, landfills are the third largest source of methane in the United States with annual emissions equivalent to driving 66 million cars or operating 79 coal-fired power plants for an entire year. 

Stakeholders at every level can help cut methane emissions by preventing organic materials from ending up in landfills. Such ""upstream strategies"" include minimizing waste, donating excess food, and recycling residual organics into animal feed, compost, or biogas. 

""Downstream strategies"" focus on improving landfill design, operations, and monitoring practices to increase methane capture and reduce methane leaks. Combining upstream and downstream efforts could slash waste methane emissions by 15% by 2030, according to the Center for Global Sustainability at the University of Maryland. 

Beyond the climate benefits, cutting methane emissions from waste can help address food insecurity, reduce health risks, improve the quality of life for nearby communities, create jobs, and produce valuable products, such as compost. 

Learn more: https://bit.ly/3Zb9tIv",NA,NA,NA,NA,NA,NA,NA,NA
