"created_time","account","post_type","icon","tag_id","tag_name","impressions","impressionsVmedian","impressionsVmean","engagements","engagementsVmedian","engagementsVmean","engagementRate","engrtVmedian","engrtVmean","postClicks","shares","brand","program","accountType","post","perma_link","text","tag1","tag2","tag3","tag4","tag5","tag6","tag7","tag8","tag9","tag10","tag11","campaignID"
2025-10-13,"RMI Brand","Facebook",2,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",507,0.081,-0.166,20,0.333,-0.262,0.039,0.114,0.054,4,1,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1281443917349490","Across the United States, the transition to affordable, clean energy is taking shape in ways we can all see and feel. Solar panels line the rooftops of schools and libraries. EV charging stations stand ready in grocery store parking lots. Electric buses and service vehicles are rolling out to replace diesel fleets. 

Behind every project is a story, and every story has to start somewhere: a conversation, a calculation, a leap of faith. These projects come to life through the persistence and creativity of individuals and teams determined to build a cleaner future. 

RMI's new ‘Voices of Clean Energy’ shares these stories. Each profile highlights the people turning ideas into action: grant writers, project managers, engineers, community leaders, and more. Each story captures the technical expertise, community ties, and determination that helps our nation’s energy systems progress. 

By elevating these voices, we honor the individuals building a healthier energy landscape — and invite others to join in. 

Hear their stories: https://bit.ly/4n6Shhg","[3] Text Graphic","[2] RMI Policy","[1] 17. Energy Transition Narrative [transition-narrative]","[4] RMI Landing Page","[1] 16. Facilitate Effective Deployment Of IRA Funding​",NA,NA,NA,NA,NA,NA,"transition-narrative"
2025-10-13,"RMI Brand","Twitter",3,3135076,"[1] 17. Energy Transition Narrative [transition-narrative]",514,-0.047,-0.202,48,0.655,0.283,0.093,0.979,0.476,19,7,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1977770844668436699","Across the U.S., clean energy is taking shape: solar on schools, EV chargers at stores, electric buses on our streets. 

RMI’s new ‘Voices of Clean Energy’ highlights the people making it possible — one project at a time. 

Learn more: https://t.co/li00eF4hai https://t.co/wpF0EDJAKO","[3] RMIer(s)","[3] Real People","[2] RMI Brand","[3] Text Graphic","[2] RMI Policy","[4] RMI Landing Page","[1] 17. Energy Transition Narrative [transition-narrative]","[1] 16. Facilitate Effective Deployment Of IRA Funding​",NA,NA,NA,"transition-narrative"
2025-10-06,"RMI Brand","Instagram",4,3998255,"OCI+",1179,0.332,0.217,17,-0.105,-0.202,0.014,-0.3,-0.364,NA,1,1,0,"RMI Brand","Post","https://www.instagram.com/p/DPfE8gzDE15/","Each step of the oil and gas production process — from extraction, processing, and transport — needs energy. This means that emissions intensity – the level of emissions per barrel of oil or gas — can vary wildly depending on those processes. We also can’t forget super-heating methane, which can leak at any one (or all) of these steps. 

This difference in intensity can have profound impacts on energy security and public safety, but has largely been hidden from markets, regulators, and citizens for decades. 

RMI’s free interactive Oil Climate Index plus Gas (OCI+) tool reveals life-cycle emissions, highlights areas to prevent energy waste, and shares strategies so that industry, policymakers, investors, and researchers can take action to tackle methane leaks. The latest update of OCI+ also includes satellite observation data from @carbonmapper’s Tanager-1 and other point source satellites to combine detected methane measurements with modeled estimates. 

OCI+ underscores the critical role of targeted, resource-specific strategies to reduce energy waste, cut oil and gas emissions, and make the benefits of reducing emissions more transparent for decision-makers. 

Click the link in our bio to learn more about how we can take methane waste from invisible to securable. 

#MethaneMonday","[3] Not Graphic Template","[1] 12. Reduce Methane Leakage In India, China, US​","[3] Text Graphic","[5] Bloomberg Methane","[3] Figure/ Graph","[2] RMI Intelligence",NA,NA,NA,NA,NA,"oci+"
2025-10-06,"RMI Brand","Twitter",3,3135066,"OCI+",441,-0.183,-0.315,45,0.552,0.203,0.102,1.17,0.619,10,9,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1975230915056984319","RMI’s Oil Climate Index plus Gas (OCI+) tool reveals life-cycle emissions, highlights areas to prevent energy waste, and shares strategies so that industry, policymakers, investors, and researchers can take action to tackle methane leaks. https://t.co/y7u7YAsWJC https://t.co/8etgmDtGok","[1] 12. Reduce Methane Leakage In India, China, US​","[3] Not Graphic Template","[3] Text Graphic","[5] Bloomberg Methane","[3] Figure/ Graph","[2] RMI Intelligence",NA,NA,NA,NA,NA,"oci+"
2025-10-03,"RMI Brand","Twitter",3,3926918,"nycw25",485,-0.101,-0.247,49,0.69,0.31,0.101,1.149,0.603,17,3,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1974220523333628250","This year's #ClimateWeekNYC drew a record 100k+ attendees, including many RMIers. This year, the focus shifted to private sector priorities such energy, data centers, and competitiveness. 

Here are deeper reflections from RMIers on the ground👇 
https://t.co/XMnY1nwvNv https://t.co/iqD5uVYMtR","nycw25","[4] Internal Article/ Blog","[3] Text Graphic","[4] Post Event/ Webinar","[2] RMI Brand",NA,NA,NA,NA,NA,NA,"nycw25"
2025-10-03,"RMI Brand","Instagram",4,3926918,"nycw25",1266,0.431,0.307,23,0.211,0.08,0.018,-0.1,-0.182,NA,5,1,0,"RMI Brand","Post","https://www.instagram.com/p/DPXB3EwkrNF/","This year’s Climate Week NYC drew record participation with nearly 1,000 events and 100,000+ attendees, despite a rollback in US clean energy support. This year, there was less discussion on policy-led decarbonization and a greater focus on the energy transition by the private sector. 

At the top of the corporate docket: effectively meeting rising costs for power, dealing with the rise in power demand from data centers, and how to lift US competitiveness in clean industry. 

RMIers led conversations on removing market barriers, such as establishing better carbon accounting standards, as well as technical steps to lower emissions from shipping, aviation, and other industries. 

💡 Visit the link in our bio to read what they took away from the whirlwind week!","nycw25","[4] Internal Article/ Blog","[3] Text Graphic","[4] Post Event/ Webinar","[2] RMI Brand",NA,NA,NA,NA,NA,NA,"nycw25"
2025-10-03,"RMI Brand","Facebook",2,3926918,"nycw25",489,0.043,-0.196,26,0.733,-0.041,0.053,0.514,0.432,15,2,1,0,"RMI Brand","Post","https://www.facebook.com/344520634375161/posts/1271686114991937","This year’s Climate Week NYC drew record participation with nearly 1,000 events and 100,000+ attendees, despite a rollback in US clean energy support. This year, there was less discussion on policy-led decarbonization and a greater focus on the energy transition by the private sector. 

At the top of the corporate docket: effectively meeting rising costs for power, dealing with the rise in power demand from data centers, and how to lift US competitiveness in clean industry.  

RMIers led conversations on removing market barriers, such as establishing better carbon accounting standards, as well as technical steps to lower emissions from shipping, aviation, and other industries. 

Here’s what they took away from the whirlwind week👇 

https://bit.ly/3KFViaF","nycw25","[4] Internal Article/ Blog","[3] Text Graphic","[4] Post Event/ Webinar","[2] RMI Brand",NA,NA,NA,NA,NA,NA,"nycw25"
2025-09-26,"RMI Brand","Instagram",4,3926918,"nycw25",1031,0.165,0.064,12,-0.368,-0.437,0.012,-0.4,-0.455,NA,0,1,0,"RMI Brand","Post","https://www.instagram.com/p/DPE_gt5iVHT/","Clean energy can deliver economic growth, make companies more cost-competitive, and cut consumers’ risks of surprise spikes in energy prices. Motivated by these and other benefits of advanced energy systems, communities and states across America, as well as  most countries globally, are speeding the shift. 

US renewable power output has risen sharply since 2000, driven by a combination of falling costs and supportive policies. While related federal incentives have fluctuated, state-level policies have remained steadier. Early embrace of renewables by community leaders, businesses, and elected leaders, combined with states’ economic development efforts, have laid a durable foundation. 

And as homeowners, cities, and countries reckon with rising costs due to damage amplified by climate change — such as homes lost to wildfire, flash floods from unprecedented deluges, and crops lost to drought — cutting emissions remains a top priority, along with improving energy accessibility, reliability, and affordability. 

Click the link in our bio to learn more about the market dynamics, politics, and policy driving the shift to clean energy.","[1] 13. Empower Leaders To Fast-Track Clean Energy Trans","nycw25","[3] Text Graphic","[4] RMI Landing Page","[3] Figure/ Graph","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-26,"RMI Brand","Twitter",3,3926918,"nycw25",412,-0.236,-0.36,21,-0.276,-0.439,0.051,0.085,-0.19,14,2,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1971652300176347330","Motivated by economic, competitive, and national security benefits, US states and local communities are transitioning to advanced energy systems.  

RMI analysis highlights the market dynamics, politics, and policy driving the shift to clean energy: https://t.co/To681xNK8R https://t.co/CdxbrX9KHc","[1] 13. Empower Leaders To Fast-Track Clean Energy Trans","nycw25","[3] Text Graphic","[4] RMI Landing Page","[3] Figure/ Graph","[2] RMI Brand",NA,NA,NA,NA,NA,"nycw25"
2025-09-25,"RMI Brand","Twitter",3,3926918,"nycw25",444,-0.177,-0.311,12,-0.586,-0.679,0.027,-0.426,-0.571,8,0,1,0,"RMI Brand","Post","https://twitter.com/RockyMtnInst/status/1971333163130482818","Many worthwhile energy projects around the world are slowed by financial obstacles. 

The US can help de-risk and incentivize investments to unlock private capital, diversify supply chains, and expand markets for US companies. https://t.co/B4sm6jXAAP https://t.co/rDWNd86sOO","[1] 13. Empower Leaders To Fast-Track Clean Energy Trans","nycw25","[4] Internal Article/ Blog","[3] Text Graphic","[2] RMI Policy",NA,NA,NA,NA,NA,NA,"nycw25"
